True Value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,2087,3.96969697,5.677966102,5.785714286,0.166666667,5.739130435,7.530612245,2.463414634,2,2.26993865,13.27643683
,2088,3.515151515,5.762711864,6.357142857,0.166666667,6.086956522,7.653061224,1.853658537,2.5,2.515337423,15.9998434
,2089,2.757575758,5.93220339,7.261904762,0.666666667,6.173913043,7.244897959,1.951219512,2,2.26993865,19.57431453
,2090,3.666666667,5.084745763,6.357142857,0.333333333,6.304347826,7.448979592,2.12195122,2,2.392638037,22.1275082
,2091,2.424242424,5.169491525,7.523809524,0.166666667,5.565217391,7.387755102,2.87804878,1.5,2.45398773,28.5955988
,2092,2.666666667,6.355932203,7.095238095,0,6,7.591836735,1.87804878,2,2.63803681,11.06366899
,2093,2.818181818,6.440677966,6.857142857,0.166666667,5.826086957,7.755102041,2.024390244,1.5,2.024539877,0
,2094,2.121212121,7.033898305,7.5,0.333333333,5.043478261,8.163265306,1.829268293,1,1.717791411,0
,2095,3.303030303,5.762711864,6.761904762,0.333333333,5.347826087,7.469387755,2.243902439,1.5,2.26993865,4.76579129
,2096,4.03030303,5.677966102,5.714285714,0.166666667,4.608695652,7.816326531,2.829268293,2,2.26993865,4.425365468
,2097,4.090909091,5.338983051,5.595238095,1.333333333,4.130434783,7.612244898,3.487804878,1.5,1.656441718,3.063662182
,2098,4.090909091,5.423728814,5.666666667,0.5,5.434782609,7,3.341463415,1.5,2.208588957,18.21261124
,2099,4.03030303,5.847457627,5.523809524,0.166666667,5.130434783,7.530612245,3.097560976,1.5,2.024539877,7.489197864
,2100,4.060606061,5.677966102,5.69047619,0.166666667,5.173913043,7.408163265,3.024390244,1.5,2.085889571,15.65941758
,2101,2.515151515,7.711864407,6.714285714,0.166666667,4.869565217,8.102040816,2.146341463,2,1.717791411,10.72324317
,2102,2.757575758,7.457627119,6.285714286,0,4.608695652,8.224489796,2.731707317,1.5,1.472392638,8.85090115
,2103,3.96969697,5.677966102,5.785714286,0.166666667,5.739130435,7.530612245,2.463414634,2,2.26993865,62.80839388
,2104,3.515151515,5.762711864,6.357142857,0.166666667,6.086956522,7.653061224,1.853658537,2.5,2.515337423,65.70201336
,2105,2.757575758,5.93220339,7.261904762,0.666666667,6.173913043,7.244897959,1.951219512,2,2.26993865,70.80840068
,2106,3.666666667,5.084745763,6.357142857,0.333333333,6.304347826,7.448979592,2.12195122,2,2.392638037,65.53180046
,2107,2.424242424,5.169491525,7.523809524,0.166666667,5.565217391,7.387755102,2.87804878,1.5,2.45398773,60.76583894
,2108,2.666666667,6.355932203,7.095238095,0,6,7.591836735,1.87804878,2,2.63803681,42.89348332
,2109,2.818181818,6.440677966,6.857142857,0.166666667,5.826086957,7.755102041,2.024390244,1.5,2.024539877,50.38285138
,2110,2.121212121,7.033898305,7.5,0.333333333,5.043478261,8.163265306,1.829268293,1,1.717791411,45.7871028
,2111,3.303030303,5.762711864,6.761904762,0.333333333,5.347826087,7.469387755,2.243902439,1.5,2.26993865,61.4466906
,2112,4.03030303,5.677966102,5.714285714,0.166666667,4.608695652,7.816326531,2.829268293,2,2.26993865,61.10626478
,2113,4.090909091,5.338983051,5.595238095,1.333333333,4.130434783,7.612244898,3.487804878,1.5,1.656441718,57.87221946
,2114,4.090909091,5.423728814,5.666666667,0.5,5.434782609,7,3.341463415,1.5,2.208588957,39.99986382
,2115,4.03030303,5.847457627,5.523809524,0.166666667,5.130434783,7.530612245,3.097560976,1.5,2.024539877,34.38283778
,2116,4.060606061,5.677966102,5.69047619,0.166666667,5.173913043,7.408163265,3.024390244,1.5,2.085889571,43.91476078
,2117,2.515151515,7.711864407,6.714285714,0.166666667,4.869565217,8.102040816,2.146341463,2,1.717791411,41.70199294
,2118,2.757575758,7.457627119,6.285714286,0,4.608695652,8.224489796,2.731707317,1.5,1.472392638,41.36156712
,2119,7.060606061,0.508474576,2.976190476,0.833333333,5.739130435,5.591836735,7.292682927,2.5,0.429447853,28.76581172
,2120,8,0.423728814,2,0.166666667,7.608695652,4.387755102,7.804878049,4,0.490797546,28.4253859
,2121,7.636363636,0.762711864,2.071428571,0.166666667,7.304347826,6.183673469,6.024390244,5.5,0.613496933,122.7233385
,2122,7.515151515,0.847457627,2.523809524,0,8.043478261,5.87755102,5.43902439,5.5,0.736196319,71.99989106
,2123,8.575757576,0.677966102,2.261904762,0.166666667,7.739130435,5.204081633,5.268292683,4,0.613496933,36.76581852
,2124,7.606060606,0.593220339,2.238095238,0.166666667,6.956521739,5.979591837,6.365853659,5,0.797546012,32.85092158
,2125,7.696969697,0.847457627,2.30952381,0.166666667,7.391304348,6.224489796,5.292682927,6.5,0.736196319,42.5530575
,2126,7.03030303,0.762711864,2.761904762,0.166666667,7.956521739,5.428571429,6.536585366,4,0.490797546,58.21264528
,2127,8.727272727,0.593220339,1.619047619,0.166666667,7.565217391,5.816326531,5.365853659,6.5,0.429447853,78.9786204
,2128,8.060606061,0.847457627,1.80952381,1.666666667,7,5.734693878,6.097560976,2.5,1.104294479,15.14877885
,2129,7.909090909,0.93220339,1.904761905,2.333333333,7.52173913,5.693877551,5.756097561,2.5,1.288343558,11.91473354
,2130,7.818181818,0.847457627,1.952380952,1.666666667,7.173913043,5.632653061,6.268292683,3,1.104294479,15.82963049
,2131,8.03030303,0.677966102,1.738095238,1.333333333,5.434782609,6.142857143,6.853658537,2,0.981595092,7.489197864
,2132,8.454545455,0.254237288,1.380952381,3.166666667,2.913043478,6.673469388,7.317073171,1.5,1.042944785,36.4253927
,2133,7.818181818,0.762711864,2.547619048,0.5,7.260869565,5.591836735,5.56097561,3,1.472392638,49.0211481
,2134,8.454545455,0.423728814,1.547619048,1.333333333,4,6.571428571,6.87804878,2,1.104294479,13.27643683
,2135,8.03030303,0.508474576,2,1.5,4.739130435,6.285714286,6.609756098,2.5,1.226993865,14.2977143
,2136,8.303030303,0.93220339,2.095238095,1.666666667,7.47826087,5.897959184,4.756097561,3,0.920245399,14.46792721
,2137,7.96969697,1.016949153,2.452380952,0.166666667,5.565217391,6.897959184,5.048780488,1.5,0.736196319,9.701965704
,2138,8.03030303,1.186440678,2.595238095,0.5,7.434782609,6.040816327,4.365853659,3,1.104294479,19.74452744
,2139,8.151515152,1.440677966,2.333333333,0,7.652173913,5.979591837,4.487804878,3,0.920245399,44.08497368
,2140,8.121212121,1.610169492,1.833333333,0.333333333,6.913043478,5.632653061,5.926829268,3,1.288343558,43.91476078
,2141,8.242424242,1.186440678,2.476190476,0.666666667,6.304347826,7.020408163,3.756097561,2,0.736196319,31.14879246
,2142,7.96969697,1.186440678,2.666666667,0,7.217391304,6.102040816,4.56097561,3,0.736196319,32.34028284
,2143,8.121212121,0.762711864,2.5,0.833333333,6.913043478,5.93877551,5.048780488,2.5,0.797546012,23.99985022
,2144,8.484848485,0.762711864,1.666666667,0.333333333,8.043478261,5.163265306,6.073170732,3.5,0.797546012,14.97856594
,2145,8.242424242,0.593220339,2.095238095,0.666666667,5.826086957,6.285714286,5.756097561,2,1.042944785,38.80837346
,2146,7.090909091,1.779661017,3.261904762,1,6.913043478,6.612244898,4.146341463,2,0.736196319,22.80835984
,2147,9.151515152,0.847457627,1.595238095,0.333333333,6.695652174,5.979591837,5.024390244,2.5,0.306748466,42.7232704
